Temp,Cpkg,Cp,Uncer,Ref,Reference,Atmosphere,Type,Molar mass,Lowest Temp,Highest Temp
11.31,,0.05439,0.0016,30Clu,"Clusius, K.; Vaughen, J. V. (1930) Journal of the American Chemical Society, pp 4686 - 4699",vacuum,Heat capacity at constant pressure Cp,24.305,1.25,543.16
11.43,,0.05439,0.0016,30Clu,"Clusius, K.; Vaughen, J. V. (1930) Journal of the American Chemical Society, pp 4686 - 4699",vacuum,Heat capacity at constant pressure Cp,,,
14.14,,0.10878,0.0033,30Clu,"Clusius, K.; Vaughen, J. V. (1930) Journal of the American Chemical Society, pp 4686 - 4699",vacuum,Heat capacity at constant pressure Cp,,,
14.28,,0.11715,0.0035,30Clu,"Clusius, K.; Vaughen, J. V. (1930) Journal of the American Chemical Society, pp 4686 - 4699",vacuum,Heat capacity at constant pressure Cp,,,
16.94,,0.20502,0.0062,30Clu,"Clusius, K.; Vaughen, J. V. (1930) Journal of the American Chemical Society, pp 4686 - 4699",vacuum,Heat capacity at constant pressure Cp,,,
17.24,,0.21338,0.0064,30Clu,"Clusius, K.; Vaughen, J. V. (1930) Journal of the American Chemical Society, pp 4686 - 4699",vacuum,Heat capacity at constant pressure Cp,,,
19.5,,0.3138,0.0094,30Clu,"Clusius, K.; Vaughen, J. V. (1930) Journal of the American Chemical Society, pp 4686 - 4699",vacuum,Heat capacity at constant pressure Cp,,,
19.64,,0.30543,0.0092,30Clu,"Clusius, K.; Vaughen, J. V. (1930) Journal of the American Chemical Society, pp 4686 - 4699",vacuum,Heat capacity at constant pressure Cp,,,
21.7,,0.46861,0.014,30Clu,"Clusius, K.; Vaughen, J. V. (1930) Journal of the American Chemical Society, pp 4686 - 4699",vacuum,Heat capacity at constant pressure Cp,,,
24.3,,0.7071,0.021,30Clu,"Clusius, K.; Vaughen, J. V. (1930) Journal of the American Chemical Society, pp 4686 - 4699",vacuum,Heat capacity at constant pressure Cp,,,
27.1,,1.02926,0.031,30Clu,"Clusius, K.; Vaughen, J. V. (1930) Journal of the American Chemical Society, pp 4686 - 4699",vacuum,Heat capacity at constant pressure Cp,,,
30.2,,1.47695,0.044,30Clu,"Clusius, K.; Vaughen, J. V. (1930) Journal of the American Chemical Society, pp 4686 - 4699",vacuum,Heat capacity at constant pressure Cp,,,
34.2,,2.23007,0.067,30Clu,"Clusius, K.; Vaughen, J. V. (1930) Journal of the American Chemical Society, pp 4686 - 4699",vacuum,Heat capacity at constant pressure Cp,,,
37.6,,2.91206,0.087,30Clu,"Clusius, K.; Vaughen, J. V. (1930) Journal of the American Chemical Society, pp 4686 - 4699",vacuum,Heat capacity at constant pressure Cp,,,
41.7,,3.8451,0.12,30Clu,"Clusius, K.; Vaughen, J. V. (1930) Journal of the American Chemical Society, pp 4686 - 4699",vacuum,Heat capacity at constant pressure Cp,,,
45.2,,4.69445,0.14,30Clu,"Clusius, K.; Vaughen, J. V. (1930) Journal of the American Chemical Society, pp 4686 - 4699",vacuum,Heat capacity at constant pressure Cp,,,
48.7,,5.56472,0.17,30Clu,"Clusius, K.; Vaughen, J. V. (1930) Journal of the American Chemical Society, pp 4686 - 4699",vacuum,Heat capacity at constant pressure Cp,,,
51.8,,6.35131,0.19,30Clu,"Clusius, K.; Vaughen, J. V. (1930) Journal of the American Chemical Society, pp 4686 - 4699",vacuum,Heat capacity at constant pressure Cp,,,
55.1,,7.21322,0.22,30Clu,"Clusius, K.; Vaughen, J. V. (1930) Journal of the American Chemical Society, pp 4686 - 4699",vacuum,Heat capacity at constant pressure Cp,,,
63.7,,9.26338,0.28,30Clu,"Clusius, K.; Vaughen, J. V. (1930) Journal of the American Chemical Society, pp 4686 - 4699",vacuum,Heat capacity at constant pressure Cp,,,
86.7,,13.58545,0.41,30Clu,"Clusius, K.; Vaughen, J. V. (1930) Journal of the American Chemical Society, pp 4686 - 4699",vacuum,Heat capacity at constant pressure Cp,,,
93.2,,14.83646,0.45,30Clu,"Clusius, K.; Vaughen, J. V. (1930) Journal of the American Chemical Society, pp 4686 - 4699",vacuum,Heat capacity at constant pressure Cp,,,
99.2,,15.55611,0.47,30Clu,"Clusius, K.; Vaughen, J. V. (1930) Journal of the American Chemical Society, pp 4686 - 4699",vacuum,Heat capacity at constant pressure Cp,,,
106.7,,16.22555,0.49,30Clu,"Clusius, K.; Vaughen, J. V. (1930) Journal of the American Chemical Society, pp 4686 - 4699",vacuum,Heat capacity at constant pressure Cp,,,
115.4,,17.5728,0.53,30Clu,"Clusius, K.; Vaughen, J. V. (1930) Journal of the American Chemical Society, pp 4686 - 4699",vacuum,Heat capacity at constant pressure Cp,,,
124.2,,18.51838,0.56,30Clu,"Clusius, K.; Vaughen, J. V. (1930) Journal of the American Chemical Society, pp 4686 - 4699",vacuum,Heat capacity at constant pressure Cp,,,
136.2,,19.41376,0.58,30Clu,"Clusius, K.; Vaughen, J. V. (1930) Journal of the American Chemical Society, pp 4686 - 4699",vacuum,Heat capacity at constant pressure Cp,,,
145.4,,20.20872,0.61,30Clu,"Clusius, K.; Vaughen, J. V. (1930) Journal of the American Chemical Society, pp 4686 - 4699",vacuum,Heat capacity at constant pressure Cp,,,
163.4,,21.21288,0.64,30Clu,"Clusius, K.; Vaughen, J. V. (1930) Journal of the American Chemical Society, pp 4686 - 4699",vacuum,Heat capacity at constant pressure Cp,,,
172.6,,21.72333,0.65,30Clu,"Clusius, K.; Vaughen, J. V. (1930) Journal of the American Chemical Society, pp 4686 - 4699",vacuum,Heat capacity at constant pressure Cp,,,
182,,21.87814,0.66,30Clu,"Clusius, K.; Vaughen, J. V. (1930) Journal of the American Chemical Society, pp 4686 - 4699",vacuum,Heat capacity at constant pressure Cp,,,
191.2,,22.29654,0.67,30Clu,"Clusius, K.; Vaughen, J. V. (1930) Journal of the American Chemical Society, pp 4686 - 4699",vacuum,Heat capacity at constant pressure Cp,,,
217.2,,22.84464,0.69,30Clu,"Clusius, K.; Vaughen, J. V. (1930) Journal of the American Chemical Society, pp 4686 - 4699",vacuum,Heat capacity at constant pressure Cp,,,
228.4,,23.09568,0.69,30Clu,"Clusius, K.; Vaughen, J. V. (1930) Journal of the American Chemical Society, pp 4686 - 4699",vacuum,Heat capacity at constant pressure Cp,,,
12,,0.06694,0.002,54Cra,"Craig, R. S.; Krier, C. A.; Coffer, L. W.; Bates, E. A.; Wallace, W. E. (1954) Journal of the American Chemical Society, pp 238 - 240",vacuum,Heat capacity at constant pressure Cp,,,
14,,0.10878,0.0033,54Cra,"Craig, R. S.; Krier, C. A.; Coffer, L. W.; Bates, E. A.; Wallace, W. E. (1954) Journal of the American Chemical Society, pp 238 - 240",vacuum,Heat capacity at constant pressure Cp,,,
16,,0.17573,0.00527,54Cra,"Craig, R. S.; Krier, C. A.; Coffer, L. W.; Bates, E. A.; Wallace, W. E. (1954) Journal of the American Chemical Society, pp 238 - 240",vacuum,Heat capacity at constant pressure Cp,,,
18,,0.27196,0.00816,54Cra,"Craig, R. S.; Krier, C. A.; Coffer, L. W.; Bates, E. A.; Wallace, W. E. (1954) Journal of the American Chemical Society, pp 238 - 240",vacuum,Heat capacity at constant pressure Cp,,,
20,,0.35982,0.0108,54Cra,"Craig, R. S.; Krier, C. A.; Coffer, L. W.; Bates, E. A.; Wallace, W. E. (1954) Journal of the American Chemical Society, pp 238 - 240",vacuum,Heat capacity at constant pressure Cp,,,
25,,0.78659,0.0236,54Cra,"Craig, R. S.; Krier, C. A.; Coffer, L. W.; Bates, E. A.; Wallace, W. E. (1954) Journal of the American Chemical Society, pp 238 - 240",vacuum,Heat capacity at constant pressure Cp,,,
30,,1.42674,0.0428,54Cra,"Craig, R. S.; Krier, C. A.; Coffer, L. W.; Bates, E. A.; Wallace, W. E. (1954) Journal of the American Chemical Society, pp 238 - 240",vacuum,Heat capacity at constant pressure Cp,,,
35,,2.3012,0.04602,54Cra,"Craig, R. S.; Krier, C. A.; Coffer, L. W.; Bates, E. A.; Wallace, W. E. (1954) Journal of the American Chemical Society, pp 238 - 240",vacuum,Heat capacity at constant pressure Cp,,,
